name,rating,review_count,maps_url,distance_km
Gang Of Pizza,4.4,73,https://maps.google.com/?cid=12817372573476058464&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.58
Gang Of Pizza,4.9,9,https://maps.google.com/?cid=3189053931074008843&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.38
La Place,4.2,596,https://maps.google.com/?cid=17549451828130786948&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.78
Le Belleville,4.5,124,https://maps.google.com/?cid=5629353105200507555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.12
Cinema le Central,4.1,139,https://maps.google.com/?cid=7114810146894573975&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2.65
Carrefour Express,4.0,126,https://maps.google.com/?cid=1763249977663721987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2.6
Gang of Pizza,4.4,16,https://maps.google.com/?cid=1652899145948300419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5.74
KB - Kebab Berliner Guyancourt,4.1,313,https://maps.google.com/?cid=18353082891721539768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5.95
Le Villaroy,4.1,274,https://maps.google.com/?cid=10119779689474187868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5.99
CroostY FooD,4.2,306,https://maps.google.com/?cid=987083000297331262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.12
Restaurant L'Etoile,4.3,124,https://maps.google.com/?cid=9685268219877129763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.13
McDonald's,4.1,381,https://maps.google.com/?cid=4053102246370260709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.38
Brass & Co,4.3,406,https://maps.google.com/?cid=14927099814980891011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.46
Maison Ren,4.4,189,https://maps.google.com/?cid=3603133890476549849&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.82
100%chicken,5.0,21,https://maps.google.com/?cid=6355086019527325867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.83
O'212 salon de the crêperie pizza feu de bois,4.7,53,https://maps.google.com/?cid=17648526064130734409&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.84
Suprême grill,4.8,222,https://maps.google.com/?cid=662441223857077371&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.85
"Lumen Library, Paris-Saclay University",4.0,101,https://maps.google.com/?cid=1807005863939171320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.82
Paul Loridant Parc,4.3,1129,https://maps.google.com/?cid=17573379997747664224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5.42
